COMP ID,PATHWAY SORTORDER,BIOCHEMICAL,SUPER PATHWAY,SUB PATHWAY,PLATFORM,CHEMICAL ID,RI,MASS,PUBCHEM,CAS,KEGG,HMDB
38293,1533,(12 or 13)-methylmyristate (a15:0 or i15:0),Lipid,"Fatty Acid, Branched",LC/MS Neg,100002344,5499.0,241.2173,151014,2485-71-4,,
38768,1538,(14 or 15)-methylpalmitate (a17:0 or i17:0),Lipid,"Fatty Acid, Branched",LC/MS Neg,100002945,5695.0,269.2487,,,,
38296,1544,(16 or 17)-methylstearate (a19:0 or i19:0),Lipid,"Fatty Acid, Branched",LC/MS Neg,100002356,5993.0,297.2799,3083779,2724-59-6,,HMDB37397
63436,1397,(2 or 3)-decenoate (10:1n7 or n8),Lipid,Medium Chain Fatty Acid,LC/MS Neg,100021502,4990.0,169.1234,,,,
62533,4934,"(2,4 or 2,5)-dimethylphenol sulfate",Xenobiotics,Food Component/Plant,LC/MS Neg,100020519,3474.0,201.0227,,,,
57814,497,(N(1) + N(8))-acetylspermidine,Amino Acid,Polyamine Metabolism,LC/MS Pos Early,100016038,3080.0,188.1757,,,,
43264,1798,(R)-3-hydroxybutyrylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",LC/MS Pos Early,100003926,2400.0,248.1493,53481617,,,HMDB13127
52984,1799,(S)-3-hydroxybutyrylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",LC/MS Pos Early,100009271,2340.0,248.1493,,,,
48761,5754,"1,2,3-benzenetriol sulfate (1)",Xenobiotics,Chemical,LC/MS Neg,100006373,1453.0,204.9812,,,,
48762,5749,"1,2,3-benzenetriol sulfate (2)",Xenobiotics,Chemical,LC/MS Neg,100006374,1709.0,204.9812,,,,
52603,2215,"1,2-dilinoleoyl-GPC (18:2/18:2)",Lipid,Phosphatidylcholine (PC),LC/MS Pos Late,100008903,2006.0,782.5694,5288075,998-06-1,,HMDB08138
53174,2305,"1,2-dilinoleoyl-GPE (18:2/18:2)*",Lipid,Phosphatidylethanolamine (PE),LC/MS Pos Late,100009217,2083.0,740.5225,9546812,,,HMDB09093
19130,2137,"1,2-dipalmitoyl-GPC (16:0/16:0)",Lipid,Phosphatidylcholine (PC),LC/MS Pos Late,100000657,2365.0,734.5694,452110,63-89-8,,HMDB00564
57341,2258,"1,2-dipalmitoyl-GPE (16:0/16:0)*",Lipid,Phosphatidylethanolamine (PE),LC/MS Pos Late,100009204,2498.0,692.5225,445468,,,HMDB08923
34404,4376,"1,3,7-trimethylurate",Xenobiotics,Xanthine Metabolism,LC/MS Neg,100001397,1985.0,209.068,79437,5415-44-1,C16361,HMDB02123
32391,4373,"1,3-dimethylurate",Xenobiotics,Xanthine Metabolism,LC/MS Neg,100001106,1671.4,195.0524,70346,944-73-0,,HMDB01857
20675,1131,"1,5-anhydroglucitol (1,5-AG)",Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",LC/MS Neg,100000580,802.0,163.0612,64960,154-58-5,C07326,HMDB02712
21049,4511,"1,6-anhydroglucose",Xenobiotics,Food Component/Plant,LC/MS Polar,100000939,1175.5,207.051,2724705,498-07-7,,HMDB00640
34400,4374,"1,7-dimethylurate",Xenobiotics,Xanthine Metabolism,LC/MS Polar,100001399,1417.2,195.0524,91611,33868-03-0,C16356,HMDB11103
44621,2682,1-(1-enyl-oleoyl)-GPE (P-18:1)*,Lipid,Lysoplasmalogen,LC/MS Pos Late,100005372,1566.0,464.3136,,,,
52689,2659,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*,Lipid,Plasmalogen,LC/MS Pos Late,100009014,2154.0,766.5745,,,,HMDB11220
52673,2651,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,Lipid,Plasmalogen,LC/MS Pos Late,100009002,2270.0,724.5276,,,,HMDB11352
52682,2660,1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*,Lipid,Plasmalogen,LC/MS Pos Late,100009009,2226.0,742.5745,,,,HMDB11211
52677,2648,1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,Lipid,Plasmalogen,LC/MS Pos Late,100009069,2351.0,700.5276,,,,HMDB11343
52478,2653,1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*,Lipid,Plasmalogen,LC/MS Pos Late,100009007,2443.0,744.5902,,,,
52477,2647,1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,Lipid,Plasmalogen,LC/MS Pos Late,100009005,2600.0,702.5432,,,,HMDB11342
52713,2650,1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*,Lipid,Plasmalogen,LC/MS Pos Late,100009160,2218.0,716.5589,,,,HMDB11207
52716,2649,1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*,Lipid,Plasmalogen,LC/MS Pos Late,100009162,2454.0,718.5745,11146967,,,HMDB11206
52474,2679,1-(1-enyl-palmitoyl)-GPC (P-16:0)*,Lipid,Lysoplasmalogen,LC/MS Pos Late,100002875,1547.0,480.3449,10917802,,,HMDB10407
39270,2680,1-(1-enyl-palmitoyl)-GPE (P-16:0)*,Lipid,Lysoplasmalogen,LC/MS Pos Late,100003000,1558.0,438.2979,,,,
52475,2664,1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,Lipid,Plasmalogen,LC/MS Pos Late,100008999,2511.0,752.5589,9547058,,,HMDB05779
52748,2656,1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,Lipid,Plasmalogen,LC/MS Pos Late,100009225,2633.0,728.5589,,,,HMDB11376
52614,2655,1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),Lipid,Plasmalogen,LC/MS Pos Late,100008919,2950.0,730.5745,,144371-68-6,,HMDB11375
39271,2684,1-(1-enyl-stearoyl)-GPE (P-18:0)*,Lipid,Lysoplasmalogen,LC/MS Pos Late,100003001,1649.0,466.3292,,,,
46325,2443,1-arachidonoyl-GPA (20:4),Lipid,Lysophospholipid,LC/MS Neg,100004442,5499.0,457.2361,,799268-65-8,,
33228,2482,1-arachidonoyl-GPC* (20:4)*,Lipid,Lysophospholipid,LC/MS Pos Late,100001551,1460.0,544.3398,,,C05208,HMDB10395
35186,2533,1-arachidonoyl-GPE (20:4n6)*,Lipid,Lysophospholipid,LC/MS Pos Late,100001571,1470.0,502.2928,42607465,,,HMDB11517
34214,2578,1-arachidonoyl-GPI* (20:4)*,Lipid,Lysophospholipid,LC/MS Neg,100001654,5482.0,619.2889,,,,HMDB61690
34397,2708,1-arachidonylglycerol (20:4),Lipid,Monoacylglycerol,LC/MS Neg,100001433,6250.0,303.2329,5282281,35474-99-8,C13857,HMDB11549
62558,351,1-carboxyethylisoleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Neg,100020427,2628.0,202.1085,,,,
62559,303,1-carboxyethylleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Neg,100020425,2663.0,202.1085,,,,
