COMP ID,Importance,PATHWAY SORTORDER,BIOCHEMICAL,SUPER PATHWAY,SUB PATHWAY,PLATFORM,CHEMICAL ID,RI,MASS,PUBCHEM,CAS,KEGG,HMDB
61771,1.806461951825953e-05,4706,2-furoylcarnitine,Xenobiotics,Food Component/Plant,LC/MS Pos Early,100016070,2672.0,256.118,,,,
48448,1.8047685086698053e-05,5752,3-hydroxypyridine sulfate,Xenobiotics,Chemical,LC/MS Neg,100006098,1595.5,173.9867,,1955-23-3,,
63236,1.7865268091424958e-05,5753,3-hydroxypyridine glucuronide,Xenobiotics,Chemical,LC/MS Neg,100020591,1080.0,270.0619,,,,
46164,1.7588246195756512e-05,4293,3-methyl catechol sulfate (2),Xenobiotics,Benzoate Metabolism,LC/MS Neg,100004110,2860.0,203.002,,,,
56,1.7361182239911355e-05,415,cystine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",LC/MS Polar,279,3424.0,239.0166,67678,56-89-3,C00491,HMDB00192
47076,1.7167452561057863e-05,1365,citraconate/glutaconate,Energy,TCA Cycle,LC/MS Polar,100006438,2600.0,129.0194,,,,
63227,1.7093308822267408e-05,5782,3-hydroxy-2-methylpyridine sulfate,Xenobiotics,Chemical,LC/MS Neg,100020975,1849.0,188.0023,,,,
21132,1.697989952674328e-05,4515,"2,3-dihydroxypyridine",Xenobiotics,Food Component/Plant,LC/MS Pos Early,100000861,1420.0,112.0393,28115,16867-04-2,,
63072,1.6900165026184132e-05,4294,4-ethylcatechol sulfate,Xenobiotics,Benzoate Metabolism,LC/MS Neg,100020536,3379.0,217.0176,,,,
46165,1.676315109530669e-05,4292,3-methyl catechol sulfate (1),Xenobiotics,Benzoate Metabolism,LC/MS Neg,100004112,2790.0,203.002,,,,
31536,1.6709828425602232e-05,4705,N-(2-furoyl)glycine,Xenobiotics,Food Component/Plant,LC/MS Pos Early,100001086,1600.0,170.0448,21863,5657-19-2;5657-19-2,,HMDB00439
34404,1.661197592203307e-05,4376,"1,3,7-trimethylurate",Xenobiotics,Xanthine Metabolism,LC/MS Neg,100001397,1985.0,209.06799999999998,79437,5415-44-1,C16361,HMDB02123
601,1.6562224222499388e-05,4013,dihydroorotate,Nucleotide,"Pyrimidine Metabolism, Orotate containing",LC/MS Polar,923,1910.0,157.0255,648,155-54-4,C00337,HMDB03349
18335,1.6475392351051968e-05,4645,quinate,Xenobiotics,Food Component/Plant,LC/MS Polar,100000442,2432.9,191.0561,6508,77-95-2,C00296,HMDB03072
48693,1.630876320915957e-05,5644,3-acetylphenol sulfate,Xenobiotics,Chemical,LC/MS Neg,100004326,2477.0,215.002,,,,
63230,1.618572606419157e-05,5780,5-hydroxy-2-methylpyridine sulfate,Xenobiotics,Chemical,LC/MS Neg,100020973,2074.0,188.0023,,,,
1110,1.6171256362096697e-05,1471,arachidonate (20:4n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),LC/MS Neg,229,5535.0,303.233,444899,506-32-1,C00219,HMDB01043
62796,1.609194368016546e-05,4638,3-ethylcatechol sulfate (1),Xenobiotics,Food Component/Plant,LC/MS Neg,100020851,3422.0,217.0176,,,,
34389,1.606251479605369e-05,4377,1-methylxanthine,Xenobiotics,Xanthine Metabolism,LC/MS Pos Early,100001405,1500.0,167.0564,80220,6136-37-4,C16358,HMDB10738
32401,1.6058324340060226e-05,4122,trigonelline (N'-methylnicotinate),Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,LC/MS Pos Early,100001092,1388.0,138.055,5570,535-83-1,C01004,HMDB00875
62798,1.6013047544425395e-05,4554,4-acetylcatechol sulfate (1),Xenobiotics,Food Component/Plant,LC/MS Neg,100020853,1774.0,230.9969,,,,
1121,1.592860055983649e-05,1411,margarate (17:0),Lipid,Long Chain Saturated Fatty Acid,LC/MS Neg,891,5731.0,269.2486,10465,506-12-7,,HMDB02259
569,1.5868548750981038e-05,4367,caffeine,Xenobiotics,Xanthine Metabolism,LC/MS Pos Early,849,2106.0,195.0877,2519,58-08-2,C07481,HMDB01847
1358,1.5792977258320156e-05,1413,stearate (18:0),Lipid,Long Chain Saturated Fatty Acid,LC/MS Neg,439,5872.0,283.2643,5281,57-11-4,C01530,HMDB00827
17805,1.576807052344832e-05,1468,dihomolinoleate (20:2n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),LC/MS Neg,1231,5730.0,307.2643,6439848,2091-39-6,C16525,HMDB05060
1361,1.576689013724963e-05,1408,pentadecanoate (15:0),Lipid,Long Chain Saturated Fatty Acid,LC/MS Neg,980,5521.0,241.2173,13849,1002-84-2;10002-84-2,C16537,HMDB00826
33971,1.561079908182299e-05,1430,10-heptadecenoate (17:1n7),Lipid,Long Chain Monounsaturated Fatty Acid,LC/MS Neg,100001278,5555.0,267.233,5312435,29743-97-3,,HMDB60038
32980,1.555000408525169e-05,1473,adrenate (22:4n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),LC/MS Neg,100001193,5678.0,331.2643,5497181,2091-25-0,C16527,HMDB02226
1336,1.550018454497456e-05,1409,palmitate (16:0),Lipid,Long Chain Saturated Fatty Acid,LC/MS Neg,424,5618.0,255.233,985,57-10-3,C00249,HMDB00220
33972,1.5469006963689144e-05,1438,10-nonadecenoate (19:1n9),Lipid,Long Chain Monounsaturated Fatty Acid,LC/MS Neg,100001277,5780.0,295.2643,5312513,73033-09-7,,HMDB13622
33447,1.538539459005637e-05,1428,palmitoleate (16:1n7),Lipid,Long Chain Monounsaturated Fatty Acid,LC/MS Neg,452,5475.0,253.2173,445638,373-49-9,C08362,HMDB03229
1669,1.53604116458521e-05,166,4-hydroxyphenylpyruvate,Amino Acid,Tyrosine Metabolism,LC/MS Neg,1141,1690.0,179.035,979,156-39-8,C01179,HMDB00707
35718,1.5300059923936075e-05,1470,dihomolinolenate (20:3n3 or 3n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),LC/MS Neg,100001739,5596.0,305.2486,5280581,17046-59-2,C03242,HMDB02925
32425,1.529852619146752e-05,3163,dehydroepiandrosterone sulfate (DHEA-S),Lipid,Androgenic Steroids,LC/MS Neg,100000792,4745.0,367.1585,12594,651-48-9,C04555,HMDB01032
34395,1.5293810729230475e-05,4371,1-methylurate,Xenobiotics,Xanthine Metabolism,LC/MS Pos Early,100001400,1461.0,183.0513,69726,708-79-2,C16359,HMDB03099
32418,1.5289243895066167e-05,1425,myristoleate (14:1n5),Lipid,Long Chain Monounsaturated Fatty Acid,LC/MS Neg,100001198,5346.9,225.18599999999998,5281119,544-64-9,C08322,HMDB02000
53243,1.5232445938879111e-05,227,catechol glucuronide,Amino Acid,Tyrosine Metabolism,LC/MS Neg,100009326,1742.0,285.0616,75124209,,,
57652,1.5220568899319223e-05,1464,hexadecadienoate (16:2n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),LC/MS Neg,100009394,5398.0,251.2017,13932172,28290-73-5,,HMDB00477
38296,1.5163213064486907e-05,1544,(16 or 17)-methylstearate (a19:0 or i19:0),Lipid,"Fatty Acid, Branched",LC/MS Neg,100002356,5993.0,297.2799,3083779,2724-59-6,,HMDB37397
43338,1.5159034156576673e-05,4770,2-furoic acid,Xenobiotics,Food Component/Plant,LC/MS Neg,100004211,960.0,111.0088,6919,88-14-2,C01546,HMDB00617
32504,1.5145621257855036e-05,1460,docosapentaenoate (DPA; 22:5n3),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),LC/MS Neg,100001181,5571.0,329.2486,6441454,2234-74-4,C16513,HMDB06528
1356,1.5095145869315479e-05,1415,nonadecanoate (19:0),Lipid,Long Chain Saturated Fatty Acid,LC/MS Neg,892,6068.0,297.2799,12591,646-30-0,C16535,HMDB00772
20676,1.5042620103112201e-05,1567,maleate,Lipid,"Fatty Acid, Dicarboxylate",LC/MS Polar,100000707,2640.0,115.0037,444266,110-16-7,C01384,HMDB00176
63683,1.502977182229589e-05,5900,"branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*",Partially Characterized Molecules,Partially Characterized Molecules,LC/MS Neg,100021709,5261.0,197.1546,,,,
37211,1.5023255060082013e-05,3182,"androstenediol (3beta,17beta) monosulfate (1)",Lipid,Androgenic Steroids,LC/MS Neg,100002028,4535.0,369.1741,13847309,521-17-5,,HMDB03818
38768,1.4997160732532397e-05,1538,(14 or 15)-methylpalmitate (a17:0 or i17:0),Lipid,"Fatty Acid, Branched",LC/MS Neg,100002945,5695.0,269.2487,,,,
35132,1.4985903580798205e-05,4059,3-methylcytidine,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",LC/MS Pos Early,100001466,2176.0,258.1085,159649,21028-20-6,,
33587,1.4965791281931544e-05,1441,eicosenoate (20:1n9 or 1n11),Lipid,Long Chain Monounsaturated Fatty Acid,LC/MS Neg,100001335,5950.0,309.2799,5282768,,C16526,HMDB02231
46111,1.4883150003298609e-05,4291,guaiacol sulfate,Xenobiotics,Benzoate Metabolism,LC/MS Neg,100004208,2344.0,203.002,22473,,,HMDB60013
32457,1.4844360424439201e-05,1860,3-hydroxylaurate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,100001112,5175.0,215.1653,94216,53941-38-1,,HMDB00387
52285,1.4837320221507982e-05,1432,oleate/vaccenate (18:1),Lipid,Long Chain Monounsaturated Fatty Acid,LC/MS Neg,100008930,5655.0,281.2486,,,,
62924,1.4836881253884589e-05,4050,3-(3-amino-3-carboxypropyl)uridine*,Nucleotide,"Pyrimidine Metabolism, Uracil containing",LC/MS Neg,100001426,1369.0,344.1099,171198,52745-94-5,,
1105,1.4828439444478603e-05,1465,linoleate (18:2n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),LC/MS Neg,180,5535.0,279.233,5280450,60-33-3,C01595,HMDB00673
62805,1.4788334395342933e-05,401,"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",LC/MS Neg,100020893,1156.0,177.0227,,,,
36752,1.4771809930185465e-05,101,N6-acetyllysine,Amino Acid,Lysine Metabolism,LC/MS Neg,100001734,1059.0,187.1088,92832,692-04-6,C02727,HMDB00206
1365,1.4753639573837594e-05,1406,myristate (14:0),Lipid,Long Chain Saturated Fatty Acid,LC/MS Neg,519,5440.0,227.2017,11005,544-63-8,C06424,HMDB00806
33442,1.471948427013067e-05,4028,pseudouridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",LC/MS Neg,821,1100.0,243.0623,15047,1445-07-4,C02067,HMDB00767
32391,1.4691270928705759e-05,4373,"1,3-dimethylurate",Xenobiotics,Xanthine Metabolism,LC/MS Neg,100001106,1671.4,195.0524,70346,944-73-0,,HMDB01857
62060,1.4676987362690975e-05,41,hydroxyasparagine,Amino Acid,Alanine and Aspartate Metabolism,LC/MS Pos Early,100020205,1149.0,149.0557,97663,,C03124,HMDB32332
53254,1.4630435341564993e-05,4935,caffeic acid sulfate,Xenobiotics,Food Component/Plant,LC/MS Polar,100009337,1307.0,258.9918,,,,HMDB41708
18394,1.4555044431211613e-05,4370,theophylline,Xenobiotics,Xanthine Metabolism,LC/MS Neg,100000437,2356.9,179.0575,2153,58-55-9,C07130,HMDB01889
36845,1.4543492408738883e-05,4342,o-cresol sulfate,Xenobiotics,Benzoate Metabolism,LC/MS Neg,100001806,2796.0,187.0071,11615528,,,
18254,1.4455619798944447e-05,4368,paraxanthine,Xenobiotics,Xanthine Metabolism,LC/MS Neg,100000453,2279.0,179.0575,4687,611-59-6,C13747,HMDB01860
37478,1.44458713079069e-05,1474,docosapentaenoate (n6 DPA; 22:5n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),LC/MS Neg,100001580,5624.5,329.2486,6441454,25182-74-5,C16513,HMDB01976
32619,1.4443269196810261e-05,3093,pregnenediol sulfate (C21H34O5S)*,Lipid,Pregnenolone Steroids,LC/MS Neg,100002067,5000.0,397.2054,,1247-64-9,,
37207,1.4436290152744029e-05,3189,"androstenediol (3alpha, 17alpha) monosulfate (2)",Lipid,Androgenic Steroids,LC/MS Neg,100002026,4712.0,369.1741,,,,
35675,1.4435022557340263e-05,1843,2-hydroxypalmitate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,100001579,5511.2,271.2279,92836,764-67-0,,HMDB31057
39609,1.4432752655382468e-05,1885,16-hydroxypalmitate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,100002953,5236.2,271.2279,10466,506-13-8,C18218,HMDB06294
34400,1.4416006315782026e-05,4374,"1,7-dimethylurate",Xenobiotics,Xanthine Metabolism,LC/MS Polar,100001399,1417.2,195.0524,91611,33868-03-0,C16356,HMDB11103
62559,1.4414655699950971e-05,303,1-carboxyethylleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Neg,100020425,2663.0,202.1085,,,,
62922,1.4403542346264992e-05,3095,pregnenetriol sulfate*,Lipid,Pregnenolone Steroids,LC/MS Neg,100021103,4749.0,413.2003,,,,
21158,1.432917190144415e-05,1861,3-hydroxymyristate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,100000882,5335.0,243.1966,16064,3422-31-9,,
48182,1.4312280084765362e-05,1768,myristoleoylcarnitine (C14:1)*,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",LC/MS Pos Late,100006051,1316.0,370.2947,90659872,889848-55-9,,
48782,1.4288925613596833e-05,245,C-glycosyltryptophan,Amino Acid,Tryptophan Metabolism,LC/MS Pos Early,100006379,2700.0,367.15,10981970,180509-18-6,,
34424,1.4210205753385413e-05,4380,5-acetylamino-6-amino-3-methyluracil,Xenobiotics,Xanthine Metabolism,LC/MS Polar,100001403,1710.0,197.06799999999998,88299,1196153-01-1,C16366,HMDB04400
32415,1.4201190631723157e-05,1475,docosadienoate (22:2n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),LC/MS Neg,100001182,6034.0,335.2956,5282807,7370-49-2,C16533,HMDB61714
