COMP ID,Importance,PATHWAY SORTORDER,BIOCHEMICAL,SUPER PATHWAY,SUB PATHWAY,PLATFORM,CHEMICAL ID,RI,MASS,PUBCHEM,CAS,KEGG,HMDB
48448,1.946187016275125e-05,5752,3-hydroxypyridine sulfate,Xenobiotics,Chemical,LC/MS Neg,100006098,1595.5,173.9867,,1955-23-3,,
17805,1.9390557324763243e-05,1468,dihomolinoleate (20:2n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),LC/MS Neg,1231,5730.0,307.2643,6439848,2091-39-6,C16525,HMDB05060
63227,1.9110649995147883e-05,5782,3-hydroxy-2-methylpyridine sulfate,Xenobiotics,Chemical,LC/MS Neg,100020975,1849.0,188.0023,,,,
1358,1.8913881071250836e-05,1413,stearate (18:0),Lipid,Long Chain Saturated Fatty Acid,LC/MS Neg,439,5872.0,283.2643,5281,57-11-4,C01530,HMDB00827
31536,1.8802205085618617e-05,4705,N-(2-furoyl)glycine,Xenobiotics,Food Component/Plant,LC/MS Pos Early,100001086,1600.0,170.0448,21863,5657-19-2;5657-19-2,,HMDB00439
61771,1.8792222521636743e-05,4706,2-furoylcarnitine,Xenobiotics,Food Component/Plant,LC/MS Pos Early,100016070,2672.0,256.118,,,,
1105,1.8618774763985566e-05,1465,linoleate (18:2n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),LC/MS Neg,180,5535.0,279.233,5280450,60-33-3,C01595,HMDB00673
1336,1.8501125468321562e-05,1409,palmitate (16:0),Lipid,Long Chain Saturated Fatty Acid,LC/MS Neg,424,5618.0,255.233,985,57-10-3,C00249,HMDB00220
57652,1.8495754597318152e-05,1464,hexadecadienoate (16:2n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),LC/MS Neg,100009394,5398.0,251.2017,13932172,28290-73-5,,HMDB00477
32980,1.84908788696948e-05,1473,adrenate (22:4n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),LC/MS Neg,100001193,5678.0,331.2643,5497181,2091-25-0,C16527,HMDB02226
35718,1.8490727562145104e-05,1470,dihomolinolenate (20:3n3 or 3n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),LC/MS Neg,100001739,5596.0,305.2486,5280581,17046-59-2,C03242,HMDB02925
33447,1.8458443802594723e-05,1428,palmitoleate (16:1n7),Lipid,Long Chain Monounsaturated Fatty Acid,LC/MS Neg,452,5475.0,253.2173,445638,373-49-9,C08362,HMDB03229
46164,1.8453512385411112e-05,4293,3-methyl catechol sulfate (2),Xenobiotics,Benzoate Metabolism,LC/MS Neg,100004110,2860.0,203.002,,,,
1121,1.8389740197510005e-05,1411,margarate (17:0),Lipid,Long Chain Saturated Fatty Acid,LC/MS Neg,891,5731.0,269.2486,10465,506-12-7,,HMDB02259
63683,1.833663444520927e-05,5900,"branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*",Partially Characterized Molecules,Partially Characterized Molecules,LC/MS Neg,100021709,5261.0,197.1546,,,,
1110,1.831952644775928e-05,1471,arachidonate (20:4n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),LC/MS Neg,229,5535.0,303.233,444899,506-32-1,C00219,HMDB01043
63236,1.8309387986911357e-05,5753,3-hydroxypyridine glucuronide,Xenobiotics,Chemical,LC/MS Neg,100020591,1080.0,270.0619,,,,
33971,1.822495731453259e-05,1430,10-heptadecenoate (17:1n7),Lipid,Long Chain Monounsaturated Fatty Acid,LC/MS Neg,100001278,5555.0,267.233,5312435,29743-97-3,,HMDB60038
32418,1.8189576961297133e-05,1425,myristoleate (14:1n5),Lipid,Long Chain Monounsaturated Fatty Acid,LC/MS Neg,100001198,5346.9,225.18599999999998,5281119,544-64-9,C08322,HMDB02000
33972,1.816689937034305e-05,1438,10-nonadecenoate (19:1n9),Lipid,Long Chain Monounsaturated Fatty Acid,LC/MS Neg,100001277,5780.0,295.2643,5312513,73033-09-7,,HMDB13622
62559,1.81547434958707e-05,303,1-carboxyethylleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Neg,100020425,2663.0,202.1085,,,,
48693,1.811467069777532e-05,5644,3-acetylphenol sulfate,Xenobiotics,Chemical,LC/MS Neg,100004326,2477.0,215.002,,,,
1361,1.8044302066515662e-05,1408,pentadecanoate (15:0),Lipid,Long Chain Saturated Fatty Acid,LC/MS Neg,980,5521.0,241.2173,13849,1002-84-2;10002-84-2,C16537,HMDB00826
63230,1.802093065832954e-05,5780,5-hydroxy-2-methylpyridine sulfate,Xenobiotics,Chemical,LC/MS Neg,100020973,2074.0,188.0023,,,,
62850,1.7964998789570093e-05,1448,tetradecadienoate (14:2)*,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),LC/MS Neg,100020343,5292.0,223.1704,5312409,39039-37-7,,HMDB00560
62558,1.7962831387610007e-05,351,1-carboxyethylisoleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Neg,100020427,2628.0,202.1085,,,,
37478,1.791951220404449e-05,1474,docosapentaenoate (n6 DPA; 22:5n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),LC/MS Neg,100001580,5624.5,329.2486,6441454,25182-74-5,C16513,HMDB01976
52285,1.7917610806971155e-05,1432,oleate/vaccenate (18:1),Lipid,Long Chain Monounsaturated Fatty Acid,LC/MS Neg,100008930,5655.0,281.2486,,,,
1356,1.7916905116347793e-05,1415,nonadecanoate (19:0),Lipid,Long Chain Saturated Fatty Acid,LC/MS Neg,892,6068.0,297.2799,12591,646-30-0,C16535,HMDB00772
62562,1.787409440829632e-05,374,1-carboxyethylvaline,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Neg,100020423,2008.0,188.0928,,,,
56,1.7869964356335504e-05,415,cystine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",LC/MS Polar,279,3424.0,239.0166,67678,56-89-3,C00491,HMDB00192
33587,1.7821120127675596e-05,1441,eicosenoate (20:1n9 or 1n11),Lipid,Long Chain Monounsaturated Fatty Acid,LC/MS Neg,100001335,5950.0,309.2799,5282768,,C16526,HMDB02231
32504,1.777327660059258e-05,1460,docosapentaenoate (DPA; 22:5n3),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),LC/MS Neg,100001181,5571.0,329.2486,6441454,2234-74-4,C16513,HMDB06528
62798,1.770658259614178e-05,4554,4-acetylcatechol sulfate (1),Xenobiotics,Food Component/Plant,LC/MS Neg,100020853,1774.0,230.9969,,,,
