COMP ID,Importance,PATHWAY SORTORDER,BIOCHEMICAL,SUPER PATHWAY,SUB PATHWAY,PLATFORM,CHEMICAL ID,RI,MASS,PUBCHEM,CAS,KEGG,HMDB
62922,1.9142080654713537e-05,3095,pregnenetriol sulfate*,Lipid,Pregnenolone Steroids,LC/MS Neg,100021103,4749.0,413.2003,,,,
32425,1.887045188620324e-05,3163,dehydroepiandrosterone sulfate (DHEA-S),Lipid,Androgenic Steroids,LC/MS Neg,100000792,4745.0,367.1585,12594,651-48-9,C04555,HMDB01032
37211,1.8764340804108155e-05,3182,"androstenediol (3beta,17beta) monosulfate (1)",Lipid,Androgenic Steroids,LC/MS Neg,100002028,4535.0,369.1741,13847309,521-17-5,,HMDB03818
37207,1.7948268005864078e-05,3189,"androstenediol (3alpha, 17alpha) monosulfate (2)",Lipid,Androgenic Steroids,LC/MS Neg,100002026,4712.0,369.1741,,,,
32619,1.785046360394793e-05,3093,pregnenediol sulfate (C21H34O5S)*,Lipid,Pregnenolone Steroids,LC/MS Neg,100002067,5000.0,397.2054,,1247-64-9,,
38170,1.7627783918413157e-05,3077,pregnenolone sulfate,Lipid,Pregnenolone Steroids,LC/MS Neg,100002129,5100.0,395.1898,105074,1247-64-9,,HMDB00774
37202,1.739107496864372e-05,3185,"androstenediol (3beta,17beta) disulfate (1)",Lipid,Androgenic Steroids,LC/MS Neg,100001992,3740.0,224.0618,87120982,,C04295,HMDB03818
37203,1.7250441062267132e-05,3186,"androstenediol (3beta,17beta) disulfate (2)",Lipid,Androgenic Steroids,LC/MS Neg,100001994,4065.0,224.0624,,,,
17805,1.70185542518022e-05,1468,dihomolinoleate (20:2n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),LC/MS Neg,1231,5730.0,307.2643,6439848,2091-39-6,C16525,HMDB05060
1358,1.678990387358178e-05,1413,stearate (18:0),Lipid,Long Chain Saturated Fatty Acid,LC/MS Neg,439,5872.0,283.2643,5281,57-11-4,C01530,HMDB00827
37196,1.67209229389749e-05,3105,"5alpha-pregnan-3beta,20beta-diol monosulfate (1)",Lipid,Progestin Steroids,LC/MS Neg,100002009,5180.0,399.2211,,,,
569,1.662603385542747e-05,4367,caffeine,Xenobiotics,Xanthine Metabolism,LC/MS Pos Early,849,2106.0,195.0877,2519,58-08-2,C07481,HMDB01847
37210,1.6570482224257083e-05,3183,"androstenediol (3beta,17beta) monosulfate (2)",Lipid,Androgenic Steroids,LC/MS Neg,100002029,4500.0,369.1741,,,,
33422,1.6529656411097444e-05,586,gamma-glutamylphenylalanine,Peptide,Gamma-glutamyl Amino Acid,LC/MS Pos Early,100000491,2992.0,295.1289,111299,7432-24-8,,HMDB00594
32980,1.6449099132709025e-05,1473,adrenate (22:4n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),LC/MS Neg,100001193,5678.0,331.2643,5497181,2091-25-0,C16527,HMDB02226
52608,1.6328758560391404e-05,2044,linoleoyl ethanolamide,Lipid,Endocannabinoid,LC/MS Neg,100006726,6150.0,322.2752,5283446,68171-52-8,,HMDB12252
46115,1.632170339330471e-05,3087,21-hydroxypregnenolone disulfate,Lipid,Pregnenolone Steroids,LC/MS Neg,100001999,3935.0,245.0671,134595,1164-98-3,,
62921,1.629742798060907e-05,3096,pregnenetriol disulfate*,Lipid,Pregnenolone Steroids,LC/MS Neg,100021104,3504.0,246.0749,,,,
48448,1.6286872636586844e-05,5752,3-hydroxypyridine sulfate,Xenobiotics,Chemical,LC/MS Neg,100006098,1595.5,173.9867,,1955-23-3,,
34404,1.6282260664370508e-05,4376,"1,3,7-trimethylurate",Xenobiotics,Xanthine Metabolism,LC/MS Neg,100001397,1985.0,209.06799999999998,79437,5415-44-1,C16361,HMDB02123
34389,1.6086865728544294e-05,4377,1-methylxanthine,Xenobiotics,Xanthine Metabolism,LC/MS Pos Early,100001405,1500.0,167.0564,80220,6136-37-4,C16358,HMDB10738
1336,1.606581203994959e-05,1409,palmitate (16:0),Lipid,Long Chain Saturated Fatty Acid,LC/MS Neg,424,5618.0,255.233,985,57-10-3,C00249,HMDB00220
20676,1.605246121379895e-05,1567,maleate,Lipid,"Fatty Acid, Dicarboxylate",LC/MS Polar,100000707,2640.0,115.0037,444266,110-16-7,C01384,HMDB00176
1121,1.6007800919318213e-05,1411,margarate (17:0),Lipid,Long Chain Saturated Fatty Acid,LC/MS Neg,891,5731.0,269.2486,10465,506-12-7,,HMDB02259
62850,1.5995894294073926e-05,1448,tetradecadienoate (14:2)*,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),LC/MS Neg,100020343,5292.0,223.1704,5312409,39039-37-7,,HMDB00560
36752,1.5885486470167037e-05,101,N6-acetyllysine,Amino Acid,Lysine Metabolism,LC/MS Neg,100001734,1059.0,187.1088,92832,692-04-6,C02727,HMDB00206
43493,1.5817993959865465e-05,77,formiminoglutamate,Amino Acid,Histidine Metabolism,LC/MS Pos Early,100002500,1880.0,175.0713,439233,816-90-0,C00439,HMDB00854
34400,1.5812716556967787e-05,4374,"1,7-dimethylurate",Xenobiotics,Xanthine Metabolism,LC/MS Polar,100001399,1417.2,195.0524,91611,33868-03-0,C16356,HMDB11103
33939,1.5755950399795827e-05,17,N-acetylthreonine,Amino Acid,"Glycine, Serine and Threonine Metabolism",LC/MS Neg,100001274,821.6,160.0615,152204,17093-74-2,,HMDB62557
62805,1.5736312156751954e-05,401,"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",LC/MS Neg,100020893,1156.0,177.0227,,,,
30460,1.5712652993150388e-05,68,1-methylhistidine,Amino Acid,Histidine Metabolism,LC/MS Neg,100001051,1227.0,168.0779,92105,332-80-9,C01152,HMDB00001
33972,1.5686484298601255e-05,1438,10-nonadecenoate (19:1n9),Lipid,Long Chain Monounsaturated Fatty Acid,LC/MS Neg,100001277,5780.0,295.2643,5312513,73033-09-7,,HMDB13622
18335,1.5682087258146072e-05,4645,quinate,Xenobiotics,Food Component/Plant,LC/MS Polar,100000442,2432.9,191.0561,6508,77-95-2,C00296,HMDB03072
